,entity1,entity2,cos_sim_score
0,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,0.45020059074605084
1,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,Course1_W3-S2-L1_Introduction_1-12,0.23492517593073972
2,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,0.9143383950064816
3,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,Course1_W5-S1-L1_Opening_Comments_0-25,0.10002417561171612
4,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,0.5333415364983285
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,Course2_W1-S1-L1_Course_Introduction_14-11,0.6188079995798563
6,Course1_W7-S1-L2_Two_Example_Problems_11-19,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,0.49806257551713273
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,0.6978321612170906
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,Course1_W1-S2-L5_Trigram_Language_Models_9-40,0.4960098375166449
9,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,0.6216886540156015
10,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,0.6216886540156015
11,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,Course2_W6-S1-L2_Grammar_Transforms_12-05,0.6971897784818747
12,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,0.6081377852302123
13,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,0.471586172404598
14,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,0.7648807744567132
15,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,0.7965063709299401
16,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,0.9687258282624803
17,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,0.27528887430355614
18,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,0.9109114368629188
19,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,0.8345959292236479
20,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,0.42055568632554147
21,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,0.8663268765244266
